# nmeas_total =          700
# k  T  Q  count
   8     0.747826      5            0
   8     0.747826      6            4
   8     0.747826      7            0
   8     0.747826      8            7
   8     0.747826      9            0
   8     0.747826     10            6
   8     0.747826     11            0
   8     0.747826     12            5
   8     0.747826     13            0
   8     0.747826     14            3
   8     0.747826     15            0
   8     0.747826     16            5
   8     0.747826     17            0
   8     0.747826     18            5
   8     0.747826     19            0
   8     0.747826     20            9
   8     0.747826     21            0
   8     0.747826     22           12
   8     0.747826     23            0
   8     0.747826     24           16
   8     0.747826     25            0
   8     0.747826     26           14
   8     0.747826     27            0
   8     0.747826     28           18
   8     0.747826     29            0
   8     0.747826     30           15
   8     0.747826     31            0
   8     0.747826     32           16
   8     0.747826     33            0
   8     0.747826     34           20
   8     0.747826     35            0
   8     0.747826     36           21
   8     0.747826     37            0
   8     0.747826     38            9
   8     0.747826     39            0
   8     0.747826     40           19
   8     0.747826     41            0
   8     0.747826     42           16
   8     0.747826     43            0
   8     0.747826     44           15
   8     0.747826     45            0
   8     0.747826     46           19
   8     0.747826     47            0
   8     0.747826     48           12
   8     0.747826     49            0
   8     0.747826     50           17
   8     0.747826     51            0
   8     0.747826     52           10
   8     0.747826     53            0
   8     0.747826     54           14
   8     0.747826     55            0
   8     0.747826     56            6
   8     0.747826     57            0
   8     0.747826     58           10
   8     0.747826     59            0
   8     0.747826     60           10
   8     0.747826     61            0
   8     0.747826     62            1
   8     0.747826     63            0
   8     0.747826     64            1
   9     0.826087    -64            0
   9     0.826087    -63            0
   9     0.826087    -62            1
   9     0.826087    -61            0
   9     0.826087    -60            3
   9     0.826087    -59            0
   9     0.826087    -58            0
   9     0.826087    -57            0
   9     0.826087    -56            2
   9     0.826087    -55            0
   9     0.826087    -54            5
   9     0.826087    -53            0
   9     0.826087    -52            7
   9     0.826087    -51            0
   9     0.826087    -50           12
   9     0.826087    -49            0
   9     0.826087    -48           13
   9     0.826087    -47            0
   9     0.826087    -46           20
   9     0.826087    -45            0
   9     0.826087    -44           26
   9     0.826087    -43            0
   9     0.826087    -42           18
   9     0.826087    -41            0
   9     0.826087    -40           12
   9     0.826087    -39            0
   9     0.826087    -38           22
   9     0.826087    -37            0
   9     0.826087    -36           17
   9     0.826087    -35            0
   9     0.826087    -34           16
   9     0.826087    -33            0
   9     0.826087    -32           20
   9     0.826087    -31            0
   9     0.826087    -30           17
   9     0.826087    -29            0
   9     0.826087    -28           11
   9     0.826087    -27            0
   9     0.826087    -26           19
   9     0.826087    -25            0
   9     0.826087    -24           15
   9     0.826087    -23            0
   9     0.826087    -22           11
   9     0.826087    -21            0
   9     0.826087    -20            8
   9     0.826087    -19            0
   9     0.826087    -18           14
   9     0.826087    -17            0
   9     0.826087    -16            8
   9     0.826087    -15            0
   9     0.826087    -14            9
   9     0.826087    -13            0
   9     0.826087    -12            8
   9     0.826087    -11            0
   9     0.826087    -10            4
   9     0.826087     -9            0
   9     0.826087     -8            6
   9     0.826087     -7            0
   9     0.826087     -6            3
   9     0.826087     -5            0
   9     0.826087     -4            2
   9     0.826087     -3            0
   9     0.826087     -2            6
   9     0.826087     -1            0
   9     0.826087      0            4
   9     0.826087      1            0
   9     0.826087      2            8
   9     0.826087      3            0
   9     0.826087      4           11
   9     0.826087      5            0
   9     0.826087      6            8
   9     0.826087      7            0
   9     0.826087      8            8
   9     0.826087      9            0
   9     0.826087     10            6
   9     0.826087     11            0
